image,mask
.\image\1000002477_365.png,.\mask\1000002477_365-mask.png
.\image\1000002477_425.png,.\mask\1000002477_425-mask.png
.\image\t18-01516_380.png,.\mask\t18-01516_380-mask.png
.\image\1000002477_175.png,.\mask\1000002477_175-mask.png
.\image\t18-01144_176.png,.\mask\t18-01144_176-mask.png
.\image\1000003222_358.png,.\mask\1000003222_358-mask.png
.\image\t18-01144_358.png,.\mask\t18-01144_358-mask.png
.\image\t18-01144_38.png,.\mask\t18-01144_38-mask.png
.\image\t18-01516_342.png,.\mask\t18-01516_342-mask.png
.\image\t18-01516_432.png,.\mask\t18-01516_432-mask.png
.\image\t18-01144_115.png,.\mask\t18-01144_115-mask.png
.\image\1000002477_231.png,.\mask\1000002477_231-mask.png
.\image\1000003222_313.png,.\mask\1000003222_313-mask.png
.\image\t18-01516_248.png,.\mask\t18-01516_248-mask.png
.\image\t18-01516_49.png,.\mask\t18-01516_49-mask.png
.\image\t18-01144_140.png,.\mask\t18-01144_140-mask.png
.\image\1000003222_96.png,.\mask\1000003222_96-mask.png
.\image\t18-01516_222.png,.\mask\t18-01516_222-mask.png
.\image\1000002477_310.png,.\mask\1000002477_310-mask.png
.\image\1000003222_252.png,.\mask\1000003222_252-mask.png
.\image\1000003222_346.png,.\mask\1000003222_346-mask.png
.\image\1000002477_301.png,.\mask\1000002477_301-mask.png
.\image\t18-01144_448.png,.\mask\t18-01144_448-mask.png
.\image\t18-01516_60.png,.\mask\t18-01516_60-mask.png
.\image\1000002477_121.png,.\mask\1000002477_121-mask.png
.\image\t18-01516_396.png,.\mask\t18-01516_396-mask.png
.\image\t18-01516_196.png,.\mask\t18-01516_196-mask.png
.\image\t18-01516_22.png,.\mask\t18-01516_22-mask.png
.\image\t18-01144_73.png,.\mask\t18-01144_73-mask.png
.\image\t18-01144_133.png,.\mask\t18-01144_133-mask.png
.\image\1000003222_19.png,.\mask\1000003222_19-mask.png
.\image\t18-01516_86.png,.\mask\t18-01516_86-mask.png
.\image\1000002477_313.png,.\mask\1000002477_313-mask.png
.\image\1000002477_394.png,.\mask\1000002477_394-mask.png
.\image\1000003222_386.png,.\mask\1000003222_386-mask.png
.\image\t18-01144_344.png,.\mask\t18-01144_344-mask.png
.\image\t18-01144_336.png,.\mask\t18-01144_336-mask.png
.\image\t18-01144_224.png,.\mask\t18-01144_224-mask.png
.\image\1000002477_93.png,.\mask\1000002477_93-mask.png
.\image\1000003222_54.png,.\mask\1000003222_54-mask.png
.\image\t18-01516_372.png,.\mask\t18-01516_372-mask.png
.\image\1000002477_332.png,.\mask\1000002477_332-mask.png
.\image\t18-01516_264.png,.\mask\t18-01516_264-mask.png
.\image\1000002477_107.png,.\mask\1000002477_107-mask.png
.\image\t18-01144_185.png,.\mask\t18-01144_185-mask.png
.\image\t18-01516_414.png,.\mask\t18-01516_414-mask.png
.\image\t18-01144_116.png,.\mask\t18-01144_116-mask.png
.\image\t18-01516_114.png,.\mask\t18-01516_114-mask.png
.\image\1000003222_455.png,.\mask\1000003222_455-mask.png
.\image\1000003222_230.png,.\mask\1000003222_230-mask.png
.\image\1000003222_65.png,.\mask\1000003222_65-mask.png
.\image\t18-01144_147.png,.\mask\t18-01144_147-mask.png
.\image\1000003222_469.png,.\mask\1000003222_469-mask.png
.\image\1000003222_375.png,.\mask\1000003222_375-mask.png
.\image\1000003222_485.png,.\mask\1000003222_485-mask.png
.\image\1000002477_181.png,.\mask\1000002477_181-mask.png
.\image\1000003222_63.png,.\mask\1000003222_63-mask.png
.\image\t18-01144_187.png,.\mask\t18-01144_187-mask.png
.\image\t18-01516_460.png,.\mask\t18-01516_460-mask.png
.\image\1000002477_287.png,.\mask\1000002477_287-mask.png
.\image\1000003222_282.png,.\mask\1000003222_282-mask.png
.\image\1000002477_307.png,.\mask\1000002477_307-mask.png
.\image\1000003222_387.png,.\mask\1000003222_387-mask.png
.\image\t18-01144_121.png,.\mask\t18-01144_121-mask.png
.\image\t18-01516_390.png,.\mask\t18-01516_390-mask.png
.\image\1000002477_475.png,.\mask\1000002477_475-mask.png
.\image\1000002477_415.png,.\mask\1000002477_415-mask.png
.\image\t18-01516_463.png,.\mask\t18-01516_463-mask.png
.\image\t18-01516_256.png,.\mask\t18-01516_256-mask.png
.\image\t18-01516_97.png,.\mask\t18-01516_97-mask.png
.\image\t18-01144_291.png,.\mask\t18-01144_291-mask.png
.\image\t18-01144_420.png,.\mask\t18-01144_420-mask.png
.\image\t18-01144_310.png,.\mask\t18-01144_310-mask.png
.\image\1000002477_62.png,.\mask\1000002477_62-mask.png
.\image\t18-01144_375.png,.\mask\t18-01144_375-mask.png
.\image\1000002477_253.png,.\mask\1000002477_253-mask.png
.\image\t18-01516_219.png,.\mask\t18-01516_219-mask.png
.\image\t18-01516_130.png,.\mask\t18-01516_130-mask.png
.\image\1000002477_358.png,.\mask\1000002477_358-mask.png
